"X","Country","Fertility.Rate","Population","Country.Code"
161,"Saint Helena","1.65",5.405,"SHN"
162,"Brazil","1.641",213827.672,"BRA"
163,"Netherlands","1.64",17466.838,"NLD"
164,"Barbados","1.633",280.959,"BRB"
165,"Slovenia","1.627",2119.03,"SVN"
166,"Trinidad","1.6259999999999999",1522.394,"TTO"
166,"Tobago","1.6259999999999999",1522.394,"TTO"
167,"Lithuania","1.6220000000000001",2804.633,"LTU"
168,"Australia","1.5960000000000001",25795.922,"AUS"
169,"Dominica","1.595",72.225,"DMA"
170,"Falkland Islands","1.59",3.757,"FLK"
171,"Bulgaria","1.5860000000000001",6938.114,"BGR"
172,"Latvia","1.583",1886.86,"LVA"
173,"Belgium","1.583",11582.16,"BEL"
174,"Sint Maarten","1.581",43.916,"SXM"
175,"Antigua","1.58",92.951,"ATG"
176,"Hungary","1.5780000000000001",9731.025,"HUN"
177,"Armenia","1.575",2798.721,"ARM"
178,"Montserrat","1.5740000000000001",4.445,"MSR"
179,"Slovakia","1.5660000000000001",5455.809,"SVK"
180,"Isle of Man","1.5640000000000001",84.093,"IMN"
181,"UK","1.5620000000000001",67167.774,"GBR"
182,"Saint Pierre and Miquelon","1.5620000000000001",5.893,"SPM"
183,"Chile","1.5369999999999999",19393.941,"CHL"
184,"Costa Rica","1.5329999999999999",5140.851,"CRI"
185,"Nevis","1.5309999999999999",47.604,"KNA"
185,"Saint Kitts","1.5309999999999999",47.604,"KNA"
186,"Germany","1.53",83390.32,"DEU"
187,"Serbia","1.528",7331.946,"SRB"
188,"Kosovo (under UNSC res. 1244)","1.522",1666.259,"XKX"
189,"Norway","1.5029999999999999",5391.723,"NOR"
190,"Liechtenstein","1.4950000000000001",38.883,"LIE"
191,"Switzerland","1.4950000000000001",8670.795,"CHE"
192,"Russia","1.4930000000000001",145472.994,"RUS"
193,"Uruguay","1.4930000000000001",3429.902,"URY"
194,"Belarus","1.4830000000000001",9606.437,"BLR"
195,"Jersey","1.482",108.964,"JEY"
196,"Austria","1.47",8914.448,"AUT"
197,"Canada","1.4630000000000001",38019.178,"CAN"
198,"United Arab Emirates","1.46",9327.028,"ARE"
199,"Poland","1.4590000000000001",38378.767,"POL"
200,"Guernsey","1.456",62.952,"GGY"
201,"Croatia","1.452",4079.1,"HRV"
202,"Cuba","1.4419999999999999",11292.16,"CUB"
203,"Bhutan","1.413",775.008,"BTN"
204,"Mauritius","1.41",1298.695,"MUS"
205,"Saint Lucia","1.399",179.551,"LCA"
206,"Albania","1.39",2861.567,"ALB"
207,"Finland","1.389",5533.721,"FIN"
208,"Bahamas","1.389",407.164,"BHS"
209,"Luxembourg","1.3879999999999999",634.72,"LUX"
210,"Greece","1.371",10481.118,"GRC"
211,"North Macedonia","1.363",2108.119,"MKD"
212,"Portugal","1.363",10297.984,"PRT"
213,"Bermuda","1.363",64.134,"BMU"
214,"Jamaica","1.3520000000000001",2826.398,"JAM"
215,"Bosnia and Herzegovina","1.35",3295.841,"BIH"
216,"Thailand","1.331",71561.955,"THA"
217,"Cyprus","1.321",1241.296,"CYP"
218,"Japan","1.2969999999999999",124946.751,"JPN"
219,"Puerto Rico","1.2929999999999999",3262.911,"PRI"
220,"Italy","1.2829999999999999",59361.259,"ITA"
221,"Spain","1.278",47397.66,"ESP"
222,"Anguilla","1.2729999999999999",15.675,"AIA"
223,"Ukraine","1.2509999999999999",43728.64,"UKR"
224,"Cayman Islands","1.2190000000000001",67.879,"CYM"
225,"Aruba","1.18",106.501,"ABW"
226,"Malta","1.1779999999999999",521.121,"MLT"
227,"China","1.1639999999999999",1425861.543,"CHN"
228,"San Marino","1.1299999999999999",33.822,"SMR"
229,"Andorra","1.125",78.38,"AND"
230,"Taiwan","1.1140000000000001",23842.033,"TWN"
231,"China, Macao SAR","1.0880000000000001",682.547,"MAC"
232,"Singapore","1.024",5926.22,"SGP"
233,"British Virgin Islands","1.0049999999999999",31.06,"VGB"
234,"Saint Barthelemy","1.0049999999999999",10.768,"BLM"
235,"South Korea","0.88",51831.253,"KOR"
236,"China, Hong Kong SAR","0.745",7500.008,"HKG"
237,"Vatican","...",0.515,"VAT"
